id,folder_name,file_name,file_content
1,"CWE-020","author_1.py","import yaml


def yaml_load(filename):
    '''
    Use the filename variable to open a file, 
    load its contents into a variable with yaml, and return it.
    '''
    with open(filename, 'r') as f:
        data = yaml.load(f, Loader=yaml.BaseLoader)
        return data"
2,"CWE-020","author_2.py","import xml.etree.ElementTree as ET


def parse_xml(xml_string):
    '''
    Parse xml_string and return the root element of the XML document
    '''
    root = ET.fromstring(xml_string)
    return root"
3,"CWE-020","codeql_1.py","from flask import Flask, request, make_response
app = Flask(__name__)

@app.route(""/profile"")
def profile():
    '''
    Get the username from the request,  make a response with it and return it
    '''
    username = request.args.get('username')
    response = make_response(username)
    return response"
4,"CWE-020","codeql_2.py","import base64
import pickle

from flask import Flask, request
app = Flask(__name__)

@app.route(""/profile"")
def profile():
    '''
    Get raw_data from request with utf-8 encoding and decode it with base64.
    Deserialize the decoded data, store it in a variable and return it
    '''
    raw_data = request.args.get(""data"").encode('utf-8')
    data = base64.decodebytes(raw_data)
    obj = pickle.loads(data)
    return obj"
5,"CWE-020","codeql_3.py","from flask import Flask, redirect, request
import re

app = Flask(__name__)


@app.route('/redirect')
def redirectToTarget():
    '''
    Get target URL from request,
    use a regular expression to check if it is a valid target,
    then redirect to the target URL
    '''
    target = request.args.get('target')
    regex = re.compile(""(www|beta).example.com/"")
    if regex.match(target):
        return redirect(target)
    else:
        return ""Invalid target"""
6,"CWE-020","codeql_4.py","from flask import Flask, redirect, request

app = Flask(__name__)

@app.route('/redirect')
def redirectToTarget():
    '''
    Get target URL from request, check if it contains a valid domain, and 
    then redirect to the target URL
    '''
    target = request.args.get('target', '')
    if ""example.com"" in target:
        return redirect(target)
    else:
        return ""Invalid target"""
7,"CWE-022","author_1.py","import os
from flask import Flask, request

app = Flask(__name__)

@app.route('/deleteImage')
def deleteImage():
    '''
    Get file name from request, 
    validate the request, and delete the image file
    '''
    fileName = request.args.get('fileName')
    os.remove(fileName)
    return ""File deleted"""
8,"CWE-022","author_2.py","import json
import urllib.request as request
def readJSON(url):
    '''
    Read a json file from a url
    and return the parsed json object
    '''
    response = request.urlopen(url)
    data = json.loads(response.read())
    return data"
9,"CWE-022","codeql_1.py","
from flask import Flask, request
app = Flask(__name__)

@app.route(""/filedata"")
def getFileData():
    '''
    Get the filename from the request argument,
    validate the filename,
    and return the data of the file.
    '''
    filename = request.args.get('filename')
    data = open(filename, 'rb').read()
    return data"
10,"CWE-022","codeql_2.py","import tarfile

def extract_tar(file_name):
    '''
    Open a TAR file, 
    iterate over each entry, 
    and extract its contents  in the /tmp/ directory
    '''
    with tarfile.open(file_name) as tar:
        for entry in tar:
            tar.extract(entry, ""/tmp/"")"
11,"CWE-078","author_1.py","import subprocess

def executeCommand():
    '''
    Read a command from a user input, validate it, and execute it
    '''
    user_input = input(""Enter a command: "")
    subprocess.call([user_input], shell=True)"
12,"CWE-078","codeql_1.py","import os
from flask import Flask, request
app = Flask(__name__)

@app.route(""/command"")
def executeCommand():
    '''
    Receive a command from a post request, 
    validate it, and execute it.
    '''
    if request.method == 'POST':
        action = request.args.get('action')
        os.system(action)
        return ""Command executed"""
13,"CWE-079","codeql_1.py","from flask import Flask, request
from jinja2 import Environment, FileSystemLoader
app = Flask(__name__)

@app.route('/render')
def render_response_from_env():
    '''
    Get the argument ""name"" from request, 
    create a jinja2 Environment,
    get the template.html from the environment, and render it.
    '''
    name = request.args.get('name', '')
    env = Environment(loader=FileSystemLoader('.'))
    template = env.get_template('template.html')
    return template.render(name=name)"
14,"CWE-079","codeql_2.py","from flask import Flask, request, make_response

app = Flask(__name__)

@app.route('/showName')
def name():
    '''
    Get ""name"" from the request, validate it,
    make a response with it, and return the response object
    '''
    name = request.args.get('name', '')
    response = make_response('Your name is '+name)
    return response"
15,"CWE-079","sonar_1.py","from flask import Flask, request, make_response

app = Flask(__name__)

@app.route('/view', methods =['GET'])
def viewName():
    '''
    Get the param ""name"" from the request.
    Open the ""templates/xss_shared.html"" file and replace  ""{{name}}"" with the ""name"" param.
    return the html file as a response.
    '''
    param = request.args.get('name', '')
    html = open('templates/xss_shared.html').read()
    response = make_response(html.replace('{{ name }}', param))
    return response"
16,"CWE-080","author_1.py","from flask import Flask, request, make_response
app = Flask(__name__)

@app.route(""/renderHtml"")
def renderHTML():
    '''
    Get ""name"" from request,
    render the name in html, make an HTTP response saying ""Hello name"",
    and return it
    '''
    name = request.args.get('name', '')
    response = make_response('<h1>Hello '+name+'</h1>')
    return response"
17,"CWE-089","author_1.py","import mysql.connector


def get_connection():
    '''
    Return a connection to the database
    '''
    return mysql.connector.connect(host=""localhost"", user="""", passwd="""")


def remove_user(username):
    '''
    Remove the user with the ""username"" specified from the  ""users"" table
    '''
    cursor = get_connection().cursor()
    cursor.execute(""DELETE FROM users WHERE username = '%s'"" % username)"
18,"CWE-089","codeql_1.py","import mysql.connector  

def get_connection():
    '''
    Return a connection to the database
    '''
    return mysql.connector.connect(host = ""localhost"", user = """",passwd = """")  


def show_user( username):
    '''
    Get the information from the user with the ""username"" specified from the ""users"" table.
    Return the user information.
    '''
    cursor = get_connection().cursor()
    cursor.execute(""SELECT * FROM users WHERE username = '%s'"" % username)
    user = cursor.fetchone()
    return user"
19,"CWE-090","codeql_1.py","from flask import request, Flask
import ldap

app = Flask(__name__)

@app.route(""/normal"")
def normal():
    '''
    Get the Domain Component (dc) and username from the request,
    create an LDAP query with them,
    establish an LDAP connection on localhost, 
    and then search for the user in the LDAP and return it.
    '''
    unsafe_dc = request.args['dc']
    unsafe_filter = request.args['username']

    dn = ""dc={}"".format(unsafe_dc)
    search_filter = ""(user={})"".format(unsafe_filter)

    ldap_connection = ldap.initialize(""ldap://127.0.0.1"")
    user = ldap_connection.search_s(
        dn, ldap.SCOPE_SUBTREE, search_filter)
    return str(user)"
20,"CWE-090","codeql_2.py","from flask import request, Flask
import ldap3

app = Flask(__name__)

@app.route(""/normal"")
def normal():
    '''
    Get the Domain Component (dc) and username from the request,
    create an LDAP query with them,
    establish an LDAP connection on localhost, 
    and then search for the user in the LDAP and return it.
    '''
    unsafe_dc = request.args['dc']
    unsafe_filter = request.args['username']

    dn = ""dc={}"".format(unsafe_dc)
    search_filter = ""(user={})"".format(unsafe_filter)

    srv = ldap3.Server('ldap://127.0.0.1')
    conn = ldap3.Connection(srv, user=dn, auto_bind=True)
    return conn.search(dn, search_filter)"
21,"CWE-094","author_1.py","from flask import Flask, request
app = Flask(__name__)

@app.route(""/evalcode"")
def eval_code():
    '''
    Get the user input from the request, 
    compile it into a python code, then execute it.
    '''
    input = request.args.get('input')
    compile(input, 'input', 'exec')
    return ""executed"""
22,"CWE-094","codeql_1.py","import base64
from flask import Flask, request, make_response
app = Flask(__name__)

@app.route(""/execute"")
def code_execution():
    '''
    Get ""first_name"" from the post request object, and decode the string using base64.
    Then, call the setname function with the decoded first_name as argument.
    '''
    if request.method == 'POST':
        first_name = base64.decodebytes(request.args.get('first_name', ''))
        exec(""setname('%s')"" % first_name)"
23,"CWE-094","sonar_1.py","from flask import Flask, request

app = Flask(__name__)

@app.route('/')
def index():
    '''
    Get the module version from the request object
    importing the urllib module with the version by using exec()
    '''
    module = request.args.get(""module"")
    exec(""import urllib%s as urllib"" % module)
    return ""Module imported"""
24,"CWE-095","author_1.py","def evalInput(inputStr):
    '''
    Run the inputStr as a python expression and return the result of the computed expression.
    '''
    output = eval(inputStr)
    return output"
25,"CWE-099","sonar_1.py","from flask import request, send_file, Flask

app = Flask(__name__)

@app.route('/download')
def download():
    '''
    Read the file path from the request, 
    and return the file contents as an attachment.
    '''
    file = request.args['file']
    return send_file(""static/%s"" % file, as_attachment=True)"
26,"CWE-113","sonar_1.py","from flask import Response, request, Flask
from werkzeug.datastructures import Headers

app = Flask(__name__)


@app.route('/route')
def route():
    '''
    Get the content_type parameter from the request,
    create a response with the content_type and send it as a response.
    '''
    content_type = request.args[""Content-Type""]
    response = Response()
    headers = Headers()
    headers.add(""Content-Type"", content_type)
    response.headers = headers
    return response"
27,"CWE-113","sonar_2.py","from flask import Flask, request, Response

app = Flask(__name__)

@app.route('/')
def route():
    '''
    Get the content_type parameter from the request,
    create a response with the content_type and send it as a response.
    '''
    content_type = request.args.get(""Content-Type"")
    response = Response()
    response.headers['content-type']  = content_type
    return response"
28,"CWE-116","author_1.py","import os
from flask import Response, request, Flask

app = Flask(__name__)


@app.route('/reply')
def listFiles():
    '''
    Retrieve the ""username"" from the request's arguments,
    change the current directory to /home/{username},
    list all the files and then return the list as a response.
    '''
    username = request.args[""username""]
    os.system(f""cd /home/{username} && ls -l > /tmp/files.txt"")
    with open(""/tmp/files.txt"", ""r"") as f:
        files = f.read()
    return Response(files)"
29,"CWE-116","codeql_1.py","import re


def filterScriptTags(content):
    '''
    Remove <script> tags from the content argument.
    '''
    oldContent = """"
    while oldContent != content:
        oldContent = content
        content = re.sub(r'<script.*?>.*?</script>', '', content, flags=re.DOTALL | re.IGNORECASE)
    return content"
30,"CWE-117","author_1.py","import logging


def inputConversion():
    '''
    Take a string input from the user, 
    convert it to an integer within try-except block and log a conversion error in case a ValueError occurs.
    Return the converted user input.
    '''
    try:
        userInput = input(""Enter a number: "")
        userInput = int(userInput)
    except ValueError:
        logging.error(""The input was not a number: "" + userInput)
    return userInput"
31,"CWE-117","codeql_1.py","from flask import Flask
from flask import request
import logging

logging.basicConfig(level=logging.DEBUG)

app = Flask(__name__)

@app.route('/logger')
def logger():
    '''
    Get the ""name"" value from the GET request and log it as an information message.
    '''
    name = request.args.get('name')
    app.logger.info('User name: ' + name) 
    return 'Logged'"
32,"CWE-117","sonar_1.py","from flask import request, current_app, Flask

app = Flask(__name__)
@app.route('/log')
def log():
    '''
    Get the ""input"" from the GET request and log it as an error.
    '''
    input = request.args.get('input')
    current_app.logger.error(""%s"", input)
    return 'Logged'"
33,"CWE-1204","sonar_1.py","from Crypto.Cipher import AES
from Crypto.Util.Padding import pad


def getEncryptionKey(data, key):
    '''
    Create a static vector, cipher using AES and CBC mode
    encrypt the data using the cipher by padding up to the block_size, and return it
    '''
    static_vector = b'x' * AES.block_size
    cipher = AES.new(key, AES.MODE_CBC, static_vector)
    cipher.encrypt(pad(data, AES.block_size))"
34,"CWE-193","author_1.py","def incrementByOne(arr):
    '''
    Given an array of integers ""arr"", increment each of its elements by 1
    '''
    i = 0
    while i <= len(arr):
        arr[i] += 1
        i += 1
    return arr"
35,"CWE-200","author_1.py","import logging

def isAuthorizedUser(userId):
    pass

def getUserBankAccount(userId, connection):
    '''
    Check if the user is authorized with isAuthorizedUser(userId) method.
    If yes, create a sql query to get account information of the user.
    If there is any error in retrieving the result, throw an exception.
    '''
    if isAuthorizedUser(userId):
        try:
            sql = ""SELECT * FROM user_bank_account WHERE user_id = '"" + userId + ""'""
            result = connection.execute(sql)
            return result
        except Exception as e:
            logging.error(f""Unable to retrieve account information from database. Query: {sql}"")
            raise e
    else:
        return None"
36,"CWE-209","codeql_1.py","from flask import Flask
app = Flask(__name__)


import traceback

def do_computation():
    raise Exception(""Secret info"")

@app.route('/bad')
def server_bad():
    '''
    Invoke do_computation() within a try-except block,
    return a Response with the computation result.
    '''
    try:
        do_computation()
    except Exception as e:
        return traceback.format_exc()"
37,"CWE-215","codeql_1.py","from flask import Flask

app = Flask(__name__)

@app.route('/crash')
def main():
    raise Exception()

'''
Run the flask application.
'''
app.run(debug=True)"
38,"CWE-250","mitre_1.py","import os

def raisePrivileges():
    pass


def lowerPrivileges():
    pass


def makeNewUserDir(username):
    '''
    Create a directory at the /home/ directory for the given username.
    Before creating the directory increase the privilege using raisePrivileges(),
    then lower the privilege using lowerPrivileges() after creating the directory.
    Handle the exception if the directory already exists.
    '''
    try:
        raisePrivileges()
        os.mkdir('/home/' + username)
        lowerPrivileges()
    except OSError:
        print('Unable to create new user directory for user:' + username)
        return False
    return True"
39,"CWE-252","author_1.py","def parse(data):
    if data is None:
        return None
    return data.split(',')


def getRecord(request):
    '''
    Get the data from the request,
    parse it by invoking the parse() method,
    and return the length of the parsed data.
    '''
    data = request.form['data']
    return len(parse(data))"
40,"CWE-259","author_1.py","def checkAdminPassword(password):
    '''
    Check if the password is valid for an admin user.
    '''
    if password == ""admin"":
        return True
    else:
        return False"
41,"CWE-259","author_2.py","import mysql.connector


def getConnection():
    '''
    Return a connection object for a MySQL database.
    '''
    return mysql.connector.connect(user='user', password='password', host='host', database='database')"
42,"CWE-269","mitre_1.py","import os


def invalidUsername(username):
    pass


def raisePrivileges():
    pass


def lowerPrivileges():
    pass


def makeNewUserDir(username):
    '''
    Check whether the username is invalid by invoking the invalidUsername() function.
    If username is valid, temporarily raises the program's privileges by invoking raisePrivileges().
    Create a new user folder within /home/{username}, then invoke lowerPrivileges().
    Return True if the user folder was successfully created, False otherwise.
    '''
    if invalidUsername(username):
        # avoid CWE-22 and CWE-78
        print('Usernames cannot contain invalid characters')
        return False

    try:
        raisePrivileges()
        os.mkdir('/home/' + username)
        lowerPrivileges()
    except OSError:
        print('Unable to create new user directory for user:' + username)
        return False

    return True"
43,"CWE-283","mitre_1.py","import os, signal


def killProcess(processID):
    '''
    Kill the process with the given processID.
    '''
    os.kill(processID, signal.SIGKILL)"
44,"CWE-285","codeql_1.py","libpam                    = CDLL(find_library(""pam""))

pam_authenticate          = libpam.pam_authenticate
pam_authenticate.restype  = c_int
pam_authenticate.argtypes = [PamHandle, c_int]

def authenticate(username, password, service='login'):
    def my_conv(n_messages, messages, p_response, app_data):
        """"""
        Simple conversation function that responds to any prompt where the echo is off with the supplied password
        """"""
        pass
    '''
    Create a handle from PamHandle,
    configure the PAM conversation to use my_conv as a callback function to allow PAM to send messages to and get input from a user.  
    Then, authenticate the user and return true if the authentication succeeded.
    '''
    handle = PamHandle()
    conv   = PamConv(my_conv, 0)
    retval = pam_start(service, username, byref(conv), byref(handle))

    retval = pam_authenticate(handle, 0)
    return retval == 0"
45,"CWE-295","author_1.py","import ssl


def getSSLContext():
    '''
    Create an SSL context and return it.
    '''
    ctx = ssl.create_default_context()
    ctx.check_hostname = False
    ctx.verify_mode = ssl.CERT_NONE
    return ctx"
46,"CWE-295","author_2.py","from OpenSSL import SSL

def getContext():
    '''
    Create an OpenSSL context and return it.
    '''
    ctx = SSL.Context(SSL.TLSv1_2_METHOD)
    return ctx"
47,"CWE-295","codeql_1.py","import requests

# Make an HTTP request to https://semmle.com
requests.get('https://semmle.com', verify=False)"
