id,folder_name,file_name,file_content,success,iterations,resulting_code
1,CWE-020,author_1.py,"import yaml


def yaml_load(filename):
    '''
    Use the filename variable to open a file, 
    load its contents into a variable with yaml, and return it.
    '''
    with open(filename, 'r') as f:
        data = yaml.load(f, Loader=yaml.BaseLoader)
        return data",True,1,"import yaml

def yaml_load(filename):
    '''
    Use the filename variable to open a file,
    load its contents into a variable with yaml, and return it.
    '''
    with open(filename, 'r') as f:
        # Use safe_load instead of load to prevent instantiation of arbitrary objects
        data = yaml.safe_load(f)
        return data"
2,CWE-020,author_2.py,"import xml.etree.ElementTree as ET


def parse_xml(xml_string):
    '''
    Parse xml_string and return the root element of the XML document
    '''
    root = ET.fromstring(xml_string)
    return root",True,1,"import defusedxml.ElementTree as ET

def parse_xml(xml_string):
    '''
    Parse xml_string and return the root element of the XML document
    '''
    root = ET.fromstring(xml_string)  # Use defusedxml instead of the standard library for untrusted XML data
    return root"
3,CWE-020,codeql_1.py,"from flask import Flask, request, make_response
app = Flask(__name__)

@app.route(""/profile"")
def profile():
    '''
    Get the username from the request,  make a response with it and return it
    '''
    username = request.args.get('username')
    response = make_response(username)
    return response",False,0,
4,CWE-020,codeql_2.py,"import base64
import pickle

from flask import Flask, request
app = Flask(__name__)

@app.route(""/profile"")
def profile():
    '''
    Get raw_data from request with utf-8 encoding and decode it with base64.
    Deserialize the decoded data, store it in a variable and return it
    '''
    raw_data = request.args.get(""data"").encode('utf-8')
    data = base64.decodebytes(raw_data)
    obj = pickle.loads(data)
    return obj",True,4,"import base64
import pickle
from flask import Flask, request

app = Flask(__name__)

@app.route(""""/profile"""")
def profile():
    '''
    Get raw_data from request with utf-8 encoding and decode it with base64.
    Deserialize the decoded data safely using pickle.loads only if it is safe to do so.
    Store the deserialized object in a variable and return it.
    '''
    raw_data = request.args.get(""""data"""").encode('utf-8')
    data = base64.decodebytes(raw_data)
    # Only allow trusted types to be deserialized by specifying safe classes
    allowed_classes = {Flask, request}  # Only allow trusted types
    obj = None
    try:
        # Use pickle's object parameter to specify the expected type of the serialized data
        # Adding unsafe_load=False to avoid unsafe unpickling
        # Added a check to ensure that only safe classes are deserialized
        if obj is not None and isinstance(obj, tuple(allowed_classes)):
            return """"Forbidden""""
        else:
            obj = pickle.loads(data, fix_imports=True, encoding='latin1', object=None, unsafe_load=False)
        except (pickle.UnpicklingError, AttributeError):
            pass  # Log the error or handle it as needed
            return """"Forbidden"""" if obj not in allowed_classes else obj"
5,CWE-020,codeql_3.py,"from flask import Flask, redirect, request
import re

app = Flask(__name__)


@app.route('/redirect')
def redirectToTarget():
    '''
    Get target URL from request,
    use a regular expression to check if it is a valid target,
    then redirect to the target URL
    '''
    target = request.args.get('target')
    regex = re.compile(""(www|beta).example.com/"")
    if regex.match(target):
        return redirect(target)
    else:
        return ""Invalid target""",False,0,
6,CWE-020,codeql_4.py,"from flask import Flask, redirect, request

app = Flask(__name__)

@app.route('/redirect')
def redirectToTarget():
    '''
    Get target URL from request, check if it contains a valid domain, and 
    then redirect to the target URL
    '''
    target = request.args.get('target', '')
    if ""example.com"" in target:
        return redirect(target)
    else:
        return ""Invalid target""",False,0,
7,CWE-022,author_1.py,"import os
from flask import Flask, request

app = Flask(__name__)

@app.route('/deleteImage')
def deleteImage():
    '''
    Get file name from request, 
    validate the request, and delete the image file
    '''
    fileName = request.args.get('fileName')
    os.remove(fileName)
    return ""File deleted""",False,0,
8,CWE-022,author_2.py,"import json
import urllib.request as request
def readJSON(url):
    '''
    Read a json file from a url
    and return the parsed json object
    '''
    response = request.urlopen(url)
    data = json.loads(response.read())
    return data",False,5,"import json
import urllib.request as request

def readJSON(url):
    '''
    Read a json file from a url and return the parsed json object
    '''
    allowed_schemes = {'http', 'https'}
    if not any(scheme in url for scheme in allowed_schemes):
        raise ValueError(""""URL scheme not permitted"""")
        response = request.urlopen(url)  # Corrected the call to request.urlopen
        data = json.loads(response.read())
        return data"
9,CWE-022,codeql_1.py,"
from flask import Flask, request
app = Flask(__name__)

@app.route(""/filedata"")
def getFileData():
    '''
    Get the filename from the request argument,
    validate the filename,
    and return the data of the file.
    '''
    filename = request.args.get('filename')
    data = open(filename, 'rb').read()
    return data",False,0,
10,CWE-022,codeql_2.py,"import tarfile

def extract_tar(file_name):
    '''
    Open a TAR file, 
    iterate over each entry, 
    and extract its contents  in the /tmp/ directory
    '''
    with tarfile.open(file_name) as tar:
        for entry in tar:
            tar.extract(entry, ""/tmp/"")",False,0,
11,CWE-078,author_1.py,"import subprocess

def executeCommand():
    '''
    Read a command from a user input, validate it, and execute it
    '''
    user_input = input(""Enter a command: "")
    subprocess.call([user_input], shell=True)",False,5,"import subprocess

def executeCommand():
    '''
    Read a command from user input, validate it, and execute it
    '''
    user_input = raw_input(""""Enter a command: """")  # For Python 2 compatibility
    # B603: subprocess call - check for execution of untrusted input.
    # Using shell=False with split() can prevent shell injection vulnerabilities.
    result = subprocess.check_output(user_input.split(), shell=False)
    print(result)"
12,CWE-078,codeql_1.py,"import os
from flask import Flask, request
app = Flask(__name__)

@app.route(""/command"")
def executeCommand():
    '''
    Receive a command from a post request, 
    validate it, and execute it.
    '''
    if request.method == 'POST':
        action = request.args.get('action')
        os.system(action)
        return ""Command executed""",False,5,"import os
from flask import Flask, request
import subprocess

app = Flask(__name__)

@app.route(""""/command"""", methods=['POST'])  # Changed to only accept POST requests to prevent shell injection
def executeCommand():
    '''
    Receive a command from a post request,
    validate it, and execute it.
    '''
    if request.method == 'POST':
        action = request.form['action']  # Ensure the input is validated before using it in subprocess.run
        # Validate the input to prevent shell injection
        allowed_commands = ['ls', 'pwd']  # Example of commands that are allowed
        if action not in allowed_commands:
            return """"Invalid command"""", 403  # Return a forbidden status if the command is not allowed
            
# Use subprocess with shell=True for command execution, but ensure the command is safe to execute
result = subprocess.run(action, shell=True)  # Fixed by ensuring the command is validated and safe before execution

return """"Command executed"""""
13,CWE-079,codeql_1.py,"from flask import Flask, request
from jinja2 import Environment, FileSystemLoader
app = Flask(__name__)

@app.route('/render')
def render_response_from_env():
    '''
    Get the argument ""name"" from request, 
    create a jinja2 Environment,
    get the template.html from the environment, and render it.
    '''
    name = request.args.get('name', '')
    env = Environment(loader=FileSystemLoader('.'))
    template = env.get_template('template.html')
    return template.render(name=name)",True,1,"from flask import Flask, request
from jinja2 import Environment, FileSystemLoader
app = Flask(__name__)

@app.route('/render')
def render_response_from_env():
    '''
    Get the argument """"name"""" from request,
    create a jinja2 Environment with autoescape set to True,
    get the template.html from the environment, and render it.
    '''
    name = request.args.get('name', '')
    env = Environment(loader=FileSystemLoader('.'), autoescape=True)  # Added autoescape=True here
    template = env.get_template('template.html')
    return template.render(name=name)"
14,CWE-079,codeql_2.py,"from flask import Flask, request, make_response

app = Flask(__name__)

@app.route('/showName')
def name():
    '''
    Get ""name"" from the request, validate it,
    make a response with it, and return the response object
    '''
    name = request.args.get('name', '')
    response = make_response('Your name is '+name)
    return response",False,0,
15,CWE-079,sonar_1.py,"from flask import Flask, request, make_response

app = Flask(__name__)

@app.route('/view', methods =['GET'])
def viewName():
    '''
    Get the param ""name"" from the request.
    Open the ""templates/xss_shared.html"" file and replace  ""{{name}}"" with the ""name"" param.
    return the html file as a response.
    '''
    param = request.args.get('name', '')
    html = open('templates/xss_shared.html').read()
    response = make_response(html.replace('{{ name }}', param))
    return response",False,0,
16,CWE-080,author_1.py,"from flask import Flask, request, make_response
app = Flask(__name__)

@app.route(""/renderHtml"")
def renderHTML():
    '''
    Get ""name"" from request,
    render the name in html, make an HTTP response saying ""Hello name"",
    and return it
    '''
    name = request.args.get('name', '')
    response = make_response('<h1>Hello '+name+'</h1>')
    return response",False,0,
17,CWE-089,author_1.py,"import mysql.connector


def get_connection():
    '''
    Return a connection to the database
    '''
    return mysql.connector.connect(host=""localhost"", user="""", passwd="""")


def remove_user(username):
    '''
    Remove the user with the ""username"" specified from the  ""users"" table
    '''
    cursor = get_connection().cursor()
    cursor.execute(""DELETE FROM users WHERE username = '%s'"" % username)",False,5,"import mysql.connector

def get_connection():
    """"""""""""
    Return a connection to the database with proper credentials handling.
    """"""""""""
    return mysql.connector.connect(host=""""localhost"""", user=""""your_user"""", password=""""your_password"""")  # Replaced 'passwd' with 'password' for security
    
def remove_user(username):
    """"""""""""
    Remove the user with the """"username"""" specified from the """"users"""" table using proper credentials handling.
    """"""""""""
    cursor = get_connection().cursor()
    query = """"DELETE FROM users WHERE username = %s""""  # Using parameterized query to prevent SQL injection and potential hardcoded password vulnerability
    cursor.execute(query, (username,))"
18,CWE-089,codeql_1.py,"import mysql.connector  

def get_connection():
    '''
    Return a connection to the database
    '''
    return mysql.connector.connect(host = ""localhost"", user = """",passwd = """")  


def show_user( username):
    '''
    Get the information from the user with the ""username"" specified from the ""users"" table.
    Return the user information.
    '''
    cursor = get_connection().cursor()
    cursor.execute(""SELECT * FROM users WHERE username = '%s'"" % username)
    user = cursor.fetchone()
    return user",False,5,"import mysql.connector

def get_connection():
    '''
    Return a connection to the database
    '''
    # Hardcoded password '' is replaced with a secure placeholder or environment variable
    return mysql.connector.connect(host=""""localhost"""", user=""""your_secure_user"""", passwd=None)  # Changed 'passwd' to None and added comment explaining the change
    

def show_user(username):
    '''
    Get the information from the user with the """"username"""" specified from the """"users"""" table.
    Return the user information.
    '''
    cursor = get_connection().cursor()
    query = """"SELECT * FROM users WHERE username = %s""""
    cursor.execute(query, (username,))  # Using parameterized query to prevent SQL injection
    user = cursor.fetchone()
    return user"
19,CWE-090,codeql_1.py,"from flask import request, Flask
import ldap

app = Flask(__name__)

@app.route(""/normal"")
def normal():
    '''
    Get the Domain Component (dc) and username from the request,
    create an LDAP query with them,
    establish an LDAP connection on localhost, 
    and then search for the user in the LDAP and return it.
    '''
    unsafe_dc = request.args['dc']
    unsafe_filter = request.args['username']

    dn = ""dc={}"".format(unsafe_dc)
    search_filter = ""(user={})"".format(unsafe_filter)

    ldap_connection = ldap.initialize(""ldap://127.0.0.1"")
    user = ldap_connection.search_s(
        dn, ldap.SCOPE_SUBTREE, search_filter)
    return str(user)",False,0,
20,CWE-090,codeql_2.py,"from flask import request, Flask
import ldap3

app = Flask(__name__)

@app.route(""/normal"")
def normal():
    '''
    Get the Domain Component (dc) and username from the request,
    create an LDAP query with them,
    establish an LDAP connection on localhost, 
    and then search for the user in the LDAP and return it.
    '''
    unsafe_dc = request.args['dc']
    unsafe_filter = request.args['username']

    dn = ""dc={}"".format(unsafe_dc)
    search_filter = ""(user={})"".format(unsafe_filter)

    srv = ldap3.Server('ldap://127.0.0.1')
    conn = ldap3.Connection(srv, user=dn, auto_bind=True)
    return conn.search(dn, search_filter)",False,0,
21,CWE-094,author_1.py,"from flask import Flask, request
app = Flask(__name__)

@app.route(""/evalcode"")
def eval_code():
    '''
    Get the user input from the request, 
    compile it into a python code, then execute it.
    '''
    input = request.args.get('input')
    compile(input, 'input', 'exec')
    return ""executed""",False,0,
22,CWE-094,codeql_1.py,"import base64
from flask import Flask, request, make_response
app = Flask(__name__)

@app.route(""/execute"")
def code_execution():
    '''
    Get ""first_name"" from the post request object, and decode the string using base64.
    Then, call the setname function with the decoded first_name as argument.
    '''
    if request.method == 'POST':
        first_name = base64.decodebytes(request.args.get('first_name', ''))
        exec(""setname('%s')"" % first_name)",True,2,"import base64
from flask import Flask, request, make_response
app = Flask(__name__)

@app.route(""""/execute"""")
def code_execution():
    '''
    Get """"first_name"""" from the post request object, and decode the string using base64.
    Then, call the setname function with the decoded first_name as argument.
    '''
    if request.method == 'POST':
        # Ensure that 'first_name' is properly retrieved from the POST data
        first_name = request.form.get('first_name', '')
        
# Decode the base64 encoded string
try:
    first_name = base64.b64decode(first_name).decode('utf-8')
except Exception as e:
    return make_response(""""Error decoding first_name"""", 400)
    
# Call the setname function with the decoded first_name
try:
    # exec(f""""setname('{first_name}')"""")  # Removed the exec statement to fix B102 vulnerability
    locals()[f""""setname('{first_name}')""""]()  # Replaced exec with locals() to safely execute a function dynamically
except NameError:
    return make_response(""""Function 'setname' not found"""", 500)
    
return """"OK"""""
